Dataset,Method,Model,DataSource,Init,Shots,Seed,Retrieve,temp_scheme,temp,Stage1Acc,Stage2LPAcc,Stage2FSFTAcc
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,1,T2T500.txt,fewshot+retrieved+unlabeled,0.01,54.1,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,1,T2T500.txt,fewshot+retrieved+unlabeled,0.02,55.0,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,1,T2T500.txt,fewshot+retrieved+unlabeled,0.03,55.7,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,1,T2T500.txt,fewshot+retrieved+unlabeled,0.04,56.1,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,1,T2T500.txt,fewshot+retrieved+unlabeled,0.05,56.4,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,1,T2T500.txt,fewshot+retrieved+unlabeled,0.06,56.3,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,1,T2T500.txt,fewshot+retrieved+unlabeled,0.07,56.5,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,1,T2T500.txt,fewshot+retrieved+unlabeled,0.08,56.3,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,1,T2T500.txt,fewshot+retrieved+unlabeled,0.09,56.2,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,1,T2T500.txt,fewshot+retrieved+unlabeled,0.1,56.2,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,1,T2T500.txt,fewshot+retrieved+unlabeled,0.2,54.3,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,1,T2T500.txt,fewshot+retrieved+unlabeled,0.3,52.5,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,1,T2T500.txt,fewshot+retrieved+unlabeled,0.4,50.7,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,1,T2T500.txt,fewshot+retrieved+unlabeled,0.5,49.5,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,1,T2T500.txt,fewshot+retrieved+unlabeled,0.6,47.8,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,1,T2T500.txt,fewshot+retrieved+unlabeled,0.7,46.6,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,1,T2T500.txt,fewshot+retrieved+unlabeled,0.8,45.4,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,1,T2T500.txt,fewshot+retrieved+unlabeled,0.9,44.7,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,1,T2T500.txt,fewshot+retrieved+unlabeled,1.0,43.6,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,1,T2T500.txt,fewshot+retrieved+unlabeled,2.0,38.7,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,1,T2T500.txt,fewshot+retrieved+unlabeled,3.0,36.9,-1,-1
