Dataset,Method,Model,DataSource,Init,Shots,Seed,Retrieve,temp_scheme,temp,hold1,hold2,hold3,hold4,Stage1Acc,Stage2LPAcc,Stage2FSFTAcc
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,2,T2T500.txt,fewshot+retrieved+unlabeled,0.01,0.01,0.8,0.0,0.0,54.1,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,2,T2T500.txt,fewshot+retrieved+unlabeled,0.02,0.01,0.8,0.0,0.0,54.7,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,2,T2T500.txt,fewshot+retrieved+unlabeled,0.03,0.01,0.8,0.0,0.0,55.5,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,2,T2T500.txt,fewshot+retrieved+unlabeled,0.04,0.01,0.8,0.0,0.0,55.8,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,2,T2T500.txt,fewshot+retrieved+unlabeled,0.05,0.01,0.8,0.0,0.0,56.2,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,2,T2T500.txt,fewshot+retrieved+unlabeled,0.06,0.01,0.8,0.0,0.0,56.4,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,2,T2T500.txt,fewshot+retrieved+unlabeled,0.07,0.01,0.8,0.0,0.0,56.4,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,2,T2T500.txt,fewshot+retrieved+unlabeled,0.08,0.01,0.8,0.0,0.0,56.0,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,2,T2T500.txt,fewshot+retrieved+unlabeled,0.09,0.01,0.8,0.0,0.0,56.0,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,2,T2T500.txt,fewshot+retrieved+unlabeled,0.1,0.01,0.8,0.0,0.0,55.7,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,2,T2T500.txt,fewshot+retrieved+unlabeled,0.2,0.01,0.8,0.0,0.0,54.0,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,2,T2T500.txt,fewshot+retrieved+unlabeled,0.3,0.01,0.8,0.0,0.0,53.1,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,2,T2T500.txt,fewshot+retrieved+unlabeled,0.4,0.01,0.8,0.0,0.0,51.7,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,2,T2T500.txt,fewshot+retrieved+unlabeled,0.5,0.01,0.8,0.0,0.0,50.7,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,2,T2T500.txt,fewshot+retrieved+unlabeled,0.6,0.01,0.8,0.0,0.0,49.4,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,2,T2T500.txt,fewshot+retrieved+unlabeled,0.7,0.01,0.8,0.0,0.0,48.4,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,2,T2T500.txt,fewshot+retrieved+unlabeled,0.8,0.01,0.8,0.0,0.0,47.8,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,2,T2T500.txt,fewshot+retrieved+unlabeled,0.9,0.01,0.8,0.0,0.0,46.9,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,2,T2T500.txt,fewshot+retrieved+unlabeled,1.0,0.01,0.8,0.0,0.0,46.3,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,2,T2T500.txt,fewshot+retrieved+unlabeled,2.0,0.01,0.8,0.0,0.0,42.8,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,2,T2T500.txt,fewshot+retrieved+unlabeled,3.0,0.01,0.8,0.0,0.0,41.2,-1,-1
