Dataset,Method,Model,DataSource,Init,Shots,Seed,Retrieve,temp_scheme,temp,hold1,hold2,hold3,hold4,Stage1Acc,Stage2LPAcc,Stage2FSFTAcc
semi-aves,probing,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.01,1.0,0.85,0.0,0.0,52.8,-1,-1
semi-aves,probing,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.02,1.0,0.85,0.0,0.0,54.2,-1,-1
semi-aves,probing,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.03,1.0,0.85,0.0,0.0,54.7,-1,-1
semi-aves,probing,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.04,1.0,0.85,0.0,0.0,54.8,-1,-1
semi-aves,probing,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.05,1.0,0.85,0.0,0.0,54.6,-1,-1
semi-aves,probing,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.06,1.0,0.85,0.0,0.0,53.9,-1,-1
semi-aves,probing,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.07,1.0,0.85,0.0,0.0,53.3,-1,-1
semi-aves,probing,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.08,1.0,0.85,0.0,0.0,52.8,-1,-1
semi-aves,probing,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.09,1.0,0.85,0.0,0.0,52.3,-1,-1
semi-aves,probing,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.1,1.0,0.85,0.0,0.0,51.6,-1,-1
semi-aves,probing,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.2,1.0,0.85,0.0,0.0,47.8,-1,-1
semi-aves,probing,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.3,1.0,0.85,0.0,0.0,45.4,-1,-1
semi-aves,probing,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.4,1.0,0.85,0.0,0.0,44.5,-1,-1
semi-aves,probing,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.5,1.0,0.85,0.0,0.0,44.1,-1,-1
semi-aves,probing,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.6,1.0,0.85,0.0,0.0,43.9,-1,-1
semi-aves,probing,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.7,1.0,0.85,0.0,0.0,43.8,-1,-1
semi-aves,probing,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.8,1.0,0.85,0.0,0.0,43.4,-1,-1
semi-aves,probing,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.9,1.0,0.85,0.0,0.0,43.2,-1,-1
semi-aves,probing,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,1.0,1.0,0.85,0.0,0.0,43.2,-1,-1
semi-aves,probing,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,2.0,1.0,0.85,0.0,0.0,43.0,-1,-1
semi-aves,probing,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,3.0,1.0,0.85,0.0,0.0,42.8,-1,-1
