Epoch,Iter,Train_loss,Val_loss,Val_acc,Test_acc,Mask
1,99,2.047588,-1,-1,40.4125,0.126452
2,198,1.38322,-1,-1,43.4375,0.21654
3,297,1.292361,-1,-1,42.2875,0.250758
4,396,1.184473,-1,-1,44.075,0.281503
5,495,1.136454,-1,-1,44.35,0.301073
6,594,1.125302,-1,-1,45.0375,0.323611
7,693,1.083889,-1,-1,45.225,0.332765
8,792,1.055154,-1,-1,44.8375,0.34577
9,891,1.040737,-1,-1,45.6125,0.357891
10,990,1.030159,-1,-1,45.5375,0.374432
11,1089,1.010793,-1,-1,45.975,0.373295
12,1188,0.99303,-1,-1,45.925,0.383965
13,1287,1.021666,-1,-1,46.2625,0.381881
14,1386,1.000224,-1,-1,46.225,0.395518
15,1485,0.958896,-1,-1,46.7625,0.397664
16,1584,0.964779,-1,-1,47.0375,0.398359
17,1683,0.936756,-1,-1,46.5375,0.404482
18,1782,0.967181,-1,-1,46.85,0.413194
19,1881,0.944967,-1,-1,46.5125,0.419697
20,1980,0.937878,-1,-1,46.8125,0.429167
21,2079,0.924664,-1,-1,47.175,0.419823
22,2178,0.94875,-1,-1,47.15,0.424684
23,2277,0.944237,-1,-1,47.325,0.428346
24,2376,0.918686,-1,-1,47.3375,0.432639
25,2475,0.925876,-1,-1,47.225,0.434722
26,2574,0.875354,-1,-1,47.825,0.437184
27,2673,0.910915,-1,-1,47.85,0.436174
28,2772,0.913922,-1,-1,47.8,0.447601
29,2871,0.898423,-1,-1,47.7875,0.44697
30,2970,0.885342,-1,-1,47.975,0.439836
31,3069,0.909569,-1,-1,47.675,0.444255
32,3168,0.873833,-1,-1,48.05,0.454861
33,3267,0.928366,-1,-1,48.0375,0.45524
34,3366,0.887823,-1,-1,48.25,0.453977
35,3465,0.904495,-1,-1,48.125,0.452399
36,3564,0.878003,-1,-1,48.1625,0.451452
37,3663,0.898364,-1,-1,47.9,0.451831
38,3762,0.854607,-1,-1,48.125,0.449747
39,3861,0.851417,-1,-1,48.0125,0.453977
40,3960,0.888914,-1,-1,47.975,0.452462
41,4059,0.904776,-1,-1,47.9375,0.455934
42,4158,0.876069,-1,-1,48.05,0.456629
43,4257,0.879384,-1,-1,48.0375,0.45524
44,4356,0.879936,-1,-1,47.975,0.458396
45,4455,0.859153,-1,-1,47.95,0.453157
46,4554,0.871491,-1,-1,48.125,0.454167
47,4653,0.904684,-1,-1,48.25,0.459343
48,4752,0.873106,-1,-1,48.15,0.449937
49,4851,0.898277,-1,-1,48.025,0.468939
50,4950,0.900294,0.014842,99.93748,48.125,0.45846
