Epoch,Iter,Train_loss,Val_loss,Val_acc,Test_acc,Mask
1,99,3.049208,-1,-1,52.35,0.0
2,198,2.44045,-1,-1,52.35,0.0
3,297,2.063331,-1,-1,53.3875,0.0
4,396,1.784368,-1,-1,54.7625,0.0
5,495,1.549735,-1,-1,55.375,0.0
6,594,1.353157,-1,-1,55.85,0.0
7,693,1.182368,-1,-1,56.075,0.0
8,792,1.032169,-1,-1,56.5875,0.0
9,891,0.884067,-1,-1,56.6375,0.0
10,990,0.776011,-1,-1,56.625,0.0
11,1089,0.666754,-1,-1,56.7625,0.0
12,1188,0.578592,-1,-1,56.675,0.0
13,1287,0.512052,-1,-1,56.6125,0.0
14,1386,0.450079,-1,-1,56.9,0.0
15,1485,0.393277,-1,-1,57.025,0.0
16,1584,0.348199,-1,-1,56.9,0.0
17,1683,0.305959,-1,-1,56.775,0.0
18,1782,0.272258,-1,-1,56.8375,0.0
19,1881,0.24575,-1,-1,56.925,0.0
20,1980,0.220393,-1,-1,56.875,0.0
21,2079,0.19924,-1,-1,56.9125,0.0
22,2178,0.184281,-1,-1,56.8875,0.0
23,2277,0.165302,-1,-1,56.9125,0.0
24,2376,0.154112,-1,-1,56.7125,0.0
25,2475,0.142726,-1,-1,56.5625,0.0
26,2574,0.133646,-1,-1,56.4625,0.0
27,2673,0.121891,-1,-1,56.425,0.0
28,2772,0.116287,-1,-1,56.6375,0.0
29,2871,0.108015,-1,-1,56.5375,0.0
30,2970,0.103725,-1,-1,56.325,0.0
31,3069,0.096206,-1,-1,56.45,0.0
32,3168,0.092209,-1,-1,56.325,0.0
33,3267,0.088268,-1,-1,56.3625,0.0
34,3366,0.085249,-1,-1,56.3625,0.0
35,3465,0.083071,-1,-1,56.2875,0.0
36,3564,0.078647,-1,-1,56.1625,0.0
37,3663,0.077386,-1,-1,56.275,0.0
38,3762,0.076568,-1,-1,56.175,0.0
39,3861,0.074156,-1,-1,56.1875,0.0
40,3960,0.07282,-1,-1,56.2375,0.0
41,4059,0.070763,-1,-1,56.375,0.0
42,4158,0.072105,-1,-1,56.2125,0.0
43,4257,0.068699,-1,-1,56.225,0.0
44,4356,0.069135,-1,-1,56.25,0.0
45,4455,0.069085,-1,-1,56.3,0.0
46,4554,0.067148,-1,-1,56.2875,0.0
47,4653,0.067772,-1,-1,56.3125,0.0
48,4752,0.066884,-1,-1,56.325,0.0
49,4851,0.065503,-1,-1,56.35,0.0
50,4950,0.066409,0.224125,98.499531,56.3375,0.0
