Epoch,Iter,Train_loss,Val_loss,Val_acc,Test_acc,Mask
1,99,4.489005,-1,-1,49.925,0.388763
2,198,4.274179,-1,-1,44.8625,0.59072
3,297,4.042716,-1,-1,42.975,0.740846
4,396,3.7574,-1,-1,47.425,0.782702
5,495,3.526085,-1,-1,50.3125,0.775568
6,594,3.333546,-1,-1,52.55,0.770644
7,693,3.150141,-1,-1,53.8375,0.777778
8,792,3.000044,-1,-1,54.4375,0.773359
9,891,2.838793,-1,-1,55.725,0.772601
10,990,2.775419,-1,-1,55.9625,0.787311
11,1089,2.632952,-1,-1,56.4625,0.782323
12,1188,2.53647,-1,-1,56.6875,0.78428
13,1287,2.496863,-1,-1,57.325,0.787563
14,1386,2.406274,-1,-1,57.4375,0.795518
15,1485,2.360286,-1,-1,57.575,0.797159
16,1584,2.343662,-1,-1,57.575,0.810101
17,1683,2.28792,-1,-1,57.55,0.808649
18,1782,2.267427,-1,-1,57.925,0.819381
19,1881,2.25157,-1,-1,58.125,0.816982
20,1980,2.185793,-1,-1,57.9125,0.819571
21,2079,2.156018,-1,-1,57.9375,0.822222
22,2178,2.15158,-1,-1,57.95,0.822096
23,2277,2.103749,-1,-1,58.25,0.821528
24,2376,2.111862,-1,-1,58.55,0.831503
25,2475,2.107472,-1,-1,58.275,0.833396
26,2574,2.081498,-1,-1,58.55,0.831692
27,2673,2.063989,-1,-1,58.275,0.827841
28,2772,2.076003,-1,-1,58.2625,0.835164
29,2871,2.0559,-1,-1,58.5875,0.834407
30,2970,2.047304,-1,-1,58.5,0.836869
31,3069,2.004235,-1,-1,58.5875,0.829987
32,3168,2.040138,-1,-1,58.5,0.840152
33,3267,1.993786,-1,-1,58.575,0.834659
34,3366,2.019431,-1,-1,58.6,0.837247
35,3465,2.011636,-1,-1,58.675,0.828725
36,3564,2.017756,-1,-1,58.7875,0.8387
37,3663,1.999883,-1,-1,58.6375,0.838068
38,3762,1.992854,-1,-1,58.55,0.838889
39,3861,1.956197,-1,-1,58.6,0.836616
40,3960,1.981459,-1,-1,58.4875,0.839141
41,4059,1.982622,-1,-1,58.5625,0.836301
42,4158,1.969463,-1,-1,58.5625,0.835354
43,4257,1.985277,-1,-1,58.475,0.834533
44,4356,1.980454,-1,-1,58.4875,0.843371
45,4455,1.995612,-1,-1,58.5625,0.839078
46,4554,1.974223,-1,-1,58.5125,0.842172
47,4653,1.970348,-1,-1,58.55,0.840657
48,4752,1.994259,-1,-1,58.5125,0.842803
49,4851,1.977018,-1,-1,58.4875,0.841793
50,4950,1.96953,0.268953,97.686777,58.5,0.835354
