Epoch,Iter,Train_loss,Val_loss,Val_acc,Test_acc,Mask
1,99,2.206584,-1,-1,25.25,0.137311
2,198,2.00851,-1,-1,27.7,0.147917
3,297,1.690751,-1,-1,28.05,0.17923
4,396,1.509942,-1,-1,29.075,0.204104
5,495,1.384095,-1,-1,29.6375,0.225189
6,594,1.233744,-1,-1,30.9,0.238258
7,693,1.16616,-1,-1,31.8125,0.244823
8,792,1.065501,-1,-1,30.85,0.258333
9,891,1.024471,-1,-1,31.8,0.267614
10,990,0.958408,-1,-1,31.9,0.280745
11,1089,0.935371,-1,-1,31.8,0.283018
12,1188,0.910135,-1,-1,33.225,0.289899
13,1287,0.909185,-1,-1,32.5125,0.296654
14,1386,0.876497,-1,-1,32.7,0.305619
15,1485,0.780429,-1,-1,33.625,0.309659
16,1584,0.797542,-1,-1,33.3375,0.310543
17,1683,0.766592,-1,-1,34.45,0.319823
18,1782,0.779676,-1,-1,33.6125,0.323359
19,1881,0.780151,-1,-1,34.6125,0.325
20,1980,0.74927,-1,-1,33.4375,0.336995
21,2079,0.712094,-1,-1,34.9,0.327652
22,2178,0.715867,-1,-1,35.5125,0.337374
23,2277,0.713628,-1,-1,34.4125,0.34274
24,2376,0.693338,-1,-1,35.225,0.341098
25,2475,0.685053,-1,-1,35.1625,0.344255
26,2574,0.683454,-1,-1,35.875,0.35
27,2673,0.677937,-1,-1,34.875,0.348169
28,2772,0.642097,-1,-1,35.6125,0.354672
29,2871,0.639536,-1,-1,35.7125,0.362121
30,2970,0.669319,-1,-1,36.2,0.362563
31,3069,0.6494,-1,-1,36.075,0.35726
32,3168,0.643991,-1,-1,35.85,0.362563
33,3267,0.599319,-1,-1,36.1,0.362374
34,3366,0.592613,-1,-1,35.975,0.362942
35,3465,0.602366,-1,-1,36.2125,0.359407
36,3564,0.606846,-1,-1,36.3,0.365593
37,3663,0.622555,-1,-1,36.4875,0.373485
38,3762,0.587475,-1,-1,36.7,0.371654
39,3861,0.589054,-1,-1,36.8,0.368813
40,3960,0.587625,-1,-1,37.025,0.375694
41,4059,0.562492,-1,-1,36.7875,0.369066
42,4158,0.617195,-1,-1,36.8875,0.373359
43,4257,0.582325,-1,-1,37.125,0.379609
44,4356,0.589319,-1,-1,36.8875,0.373422
45,4455,0.555006,-1,-1,36.8875,0.369444
46,4554,0.585513,-1,-1,36.95,0.379545
47,4653,0.579,-1,-1,37.0125,0.372727
48,4752,0.544431,-1,-1,36.975,0.376326
49,4851,0.578662,-1,-1,37.0625,0.377778
50,4950,0.568141,0.011908,99.96874,37.05,0.369508
1,99,0.196668,0.195422,95.486111,37.0125
2,198,0.196124,0.194778,95.486111,37.0125
3,297,0.195482,0.194176,95.486111,37.0
4,396,0.194891,0.19367,95.486111,36.9875
5,495,0.194379,0.19324,95.486111,36.9875
6,594,0.193954,0.192922,95.486111,37.0
7,693,0.193637,0.192693,95.486111,37.0
8,792,0.193416,0.192558,95.486111,37.0
9,891,0.193287,0.192495,95.486111,37.0
10,990,0.193228,0.192477,95.486111,37.0
1,99,0.167543,-1,-1,36.5
2,198,0.183076,-1,-1,36.3375
3,297,0.166972,-1,-1,36.4625
4,396,0.191656,-1,-1,36.575
5,495,0.170982,-1,-1,36.4125
6,594,0.173189,-1,-1,36.4
7,693,0.203317,-1,-1,36.4875
8,792,0.1765,-1,-1,36.5375
9,891,0.184317,-1,-1,36.6125
10,990,0.165314,0.174251,95.801768,36.6125
