Epoch,Iter,Train_loss,Val_loss,Val_acc,Test_acc,Mask
1,99,5.295083,-1,-1,1.9,0.0
2,198,5.272878,-1,-1,7.2,0.0
3,297,5.238913,-1,-1,13.9125,0.0
4,396,5.197257,-1,-1,18.6,0.0
5,495,5.153166,-1,-1,20.875,0.0
6,594,5.107722,-1,-1,22.225,0.0
7,693,5.062807,-1,-1,22.9375,0.0
8,792,5.01743,-1,-1,24.5125,0.0
9,891,4.973063,-1,-1,25.2875,0.0
10,990,4.928951,-1,-1,25.5,0.0
11,1089,4.884303,-1,-1,26.05,0.0
12,1188,4.841287,-1,-1,27.2875,0.0
13,1287,4.799221,-1,-1,28.25,0.0
14,1386,4.758293,-1,-1,28.2625,0.0
15,1485,4.717953,-1,-1,28.1375,0.0
16,1584,4.677422,-1,-1,28.3875,0.0
17,1683,4.640045,-1,-1,29.25,0.0
18,1782,4.603278,-1,-1,29.2125,0.0
19,1881,4.565983,-1,-1,29.4125,0.0
20,1980,4.532717,-1,-1,29.875,0.0
21,2079,4.498938,-1,-1,29.975,0.0
22,2178,4.467883,-1,-1,30.0875,0.0
23,2277,4.437743,-1,-1,30.15,0.0
24,2376,4.409018,-1,-1,30.5,0.0
25,2475,4.383398,-1,-1,30.3875,0.0
26,2574,4.3567,-1,-1,30.6875,0.0
27,2673,4.332983,-1,-1,30.6875,0.0
28,2772,4.310032,-1,-1,31.25,0.0
29,2871,4.289261,-1,-1,31.375,0.0
30,2970,4.270163,-1,-1,31.2125,0.0
31,3069,4.252597,-1,-1,31.25,0.0
32,3168,4.236018,-1,-1,31.2625,0.0
33,3267,4.220779,-1,-1,31.675,0.0
34,3366,4.20626,-1,-1,31.7125,0.0
35,3465,4.194266,-1,-1,31.6,0.0
36,3564,4.184677,-1,-1,31.475,0.0
37,3663,4.175685,-1,-1,31.5,0.0
38,3762,4.165874,-1,-1,31.7,0.0
39,3861,4.158592,-1,-1,31.7375,0.0
40,3960,4.153713,-1,-1,31.675,0.0
41,4059,4.147787,-1,-1,31.7375,0.0
42,4158,4.14568,-1,-1,31.7875,0.0
43,4257,4.139823,-1,-1,31.875,0.0
44,4356,4.138502,-1,-1,31.8375,0.0
45,4455,4.134415,-1,-1,31.7875,0.0
46,4554,4.133709,-1,-1,31.8125,0.0
47,4653,4.133196,-1,-1,31.8375,0.0
48,4752,4.131134,-1,-1,31.9125,0.0
49,4851,4.131678,-1,-1,31.9,0.0
50,4950,4.131717,4.200531,65.176618,31.8375,0.0
1,99,4.120426,-1,-1,32.0
2,198,4.083077,-1,-1,32.0875
3,297,4.045497,-1,-1,32.2125
4,396,4.011786,-1,-1,32.425
5,495,3.983157,-1,-1,32.5625
6,594,3.960483,-1,-1,32.6125
7,693,3.94384,-1,-1,32.675
8,792,3.932951,-1,-1,32.75
9,891,3.926975,-1,-1,32.75
10,990,3.924568,3.924138,81.723485,32.7375
1,99,4.122813,-1,-1,31.8875
2,198,4.081305,-1,-1,31.775
3,297,4.03715,-1,-1,31.9625
4,396,3.996005,-1,-1,31.9875
5,495,3.961431,-1,-1,32.2875
6,594,3.932378,-1,-1,32.6875
7,693,3.911908,-1,-1,32.525
8,792,3.89729,-1,-1,32.65
9,891,3.889876,-1,-1,32.4875
10,990,3.885329,3.974094,68.521413,32.425
